itemid,categoria_final,title_clean,product_url,link_gerado_shopee
23694619096,fitness,Conjunto Fitinis Feminino Camiseta+Bermuda Cós Alto Zero Transparencia Docinho Meninas Super Poderosas,https://shopee.com.br/product/1658214238/23694619096,https://s.shopee.com.br/7VDlpL0or8
22298931685,casa,Bomba De Ar Elétrica Para Balões Bivolt 22W 2V/AC110-240V BOMVINK,https://shopee.com.br/product/1588652179/22298931685,https://s.shopee.com.br/7KuLd21SC7
44507789271,moda,Blusa Moletom Flanelada Feminina Semi Cropped Manga Longa Casaco de Frio com Ribana Elegante,https://shopee.com.br/product/267824638/44507789271,https://s.shopee.com.br/5q5XqH7AEq
20297688732,moda,Bota Coturno Feminina Sola Tratorada Plataforma com Bordado Metalasse Leve e Confortável,https://shopee.com.br/product/1257356351/20297688732,https://s.shopee.com.br/5fm7dy7nZp
58207500943,infantil,2 PARES UM CHINELO NUVEM + TENIS CALCE FACIL DOS ROSAS COM PULSEIRA EXCLUSIVA,https://shopee.com.br/product/1142211974/58207500943,https://s.shopee.com.br/5VShRf8Quo
56410326911,moda,blusa feminina manga longa de frio canelado gola alta elegante básica inverno,https://shopee.com.br/product/353255910/56410326911,https://s.shopee.com.br/2qRwGn0B3L
22399457294,beleza,Vibrador Caracol com Língua Estimulador Clitoriano Massageador Feminino Envio Discreto,https://shopee.com.br/product/1743861311/22399457294,https://s.shopee.com.br/3g13GJx0MW
22299216732,moda,Sapatilha Tênis Feminina Gel Ortopédica Calce Fácil,https://shopee.com.br/product/1677223725/22299216732,https://s.shopee.com.br/3qKTScwN1Z
58204121560,casa,4pcs Dobradiça Dobrável Invisível Travamento Automático 0-180° Graus Ajustáveis Aço Ino,https://shopee.com.br/product/1582679273/58204121560,https://s.shopee.com.br/3LOCrhyH2U
25519021709,infantil,25cm Meu Pequeno Pônei Arco-Íris Peluche Pe,https://shopee.com.br/product/452489957/25519021709,https://s.shopee.com.br/3Vhd40xdhX
58258843577,infantil,Relógio Sonic Projetor De Imagens Infantil Criança Presente,https://shopee.com.br/product/1257416020/58258843577,https://s.shopee.com.br/2LVfftNx1Q
42624327436,infantil,[largeloohg] GARFIELD Original Bonito Brinquedo De Pelúcia Macio Gato Boneca Desenhos Animados Plushie Chaveiro Pingente,https://shopee.com.br/product/1269431300/42624327436,https://s.shopee.com.br/2Vp5sCNJgT
58210671537,casa,Mini Arco De Mesa Festa Painel Redondo Decoraçao 50cm Dourado,https://shopee.com.br/product/604511483/58210671537,https://s.shopee.com.br/20spHHPDhO
22398463172,cozinha,Kit 15 Caneca personalizada festa junina tematica lembrancinha decorado caipira evento igreja escola,https://shopee.com.br/product/425376567/22398463172,https://s.shopee.com.br/2BCFTaOaMR
58208034562,cozinha,Processador De Alimentos Recarregável Para Temperos Legumes E Alho 250ml USB ON-UD101,https://shopee.com.br/product/1103946075/58208034562,https://s.shopee.com.br/8Kmsov16qe
58257980917,acessórios para celular,Smartwatch D20 38mm Rosé - Relógio Inteligente Bluetooth Resistente Água + Batimentos,https://shopee.com.br/product/1404960630/58257980917,https://s.shopee.com.br/9fIGPO3oKQ
49609575540,acessórios para celular,"Localizador Anti Perda compatível iOS e Android, rastreamento preciso, compacto e prático",https://shopee.com.br/product/655350040/49609575540,https://s.shopee.com.br/9pbgbh3AzT
58208445625,casa,Quadros Decorativos Barco Jesus Infantil Religioso Quarto Sala Hall MDF 3mm,https://shopee.com.br/product/763136057/58208445625,https://s.shopee.com.br/9zv6o02XeW
22999348321,fitness,Combo 2 Baby Look Feminina Yoga Caimento Perfeito,https://shopee.com.br/product/1484288001/22999348321,https://s.shopee.com.br/AAEX0J1uJZ
22199364458,fitness,Kit 2 Biquíni Cintura Alta Feminino Calcinha HotPants de Anarruga Tecido Duplo/Top com Bojo/Conjunto moda Praia Verão l,https://shopee.com.br/product/730583839/22199364458,https://s.shopee.com.br/AKXxCc1Gyc
58200603635,cozinha,Bar Adega Suporte Para Vinho Parede P/ 4 Garrafas Industrial Boteco Barzinho Suspenso Reforçado Moderno Decorativo,https://shopee.com.br/product/510393429/58200603635,https://s.shopee.com.br/3Vhd44ipGl
22198912676,pets,"Expande com um clique! Tenda dobrável para cães e gatos em duas cores, super prática",https://shopee.com.br/product/1051950257/22198912676,https://s.shopee.com.br/30lMT9kjHg
58209590305,fitness,Tênis Ruptura Unissex Masculino Feminino com Conforto para Academia e Skatista Inverno + Adesivo de brinde,https://shopee.com.br/product/1509061269/58209590305,https://s.shopee.com.br/3B4mfSk5wj
58208145554,beleza,2un Porta Comprimidos Compacto Organizador Multifuncional com 10 Divisórias,https://shopee.com.br/product/801758522/58208145554,https://s.shopee.com.br/2g8W4Xlzxe
58201174593,beleza,"Perfume Masculino Brand Collection N,054",https://shopee.com.br/product/1660250626/58201174593,https://s.shopee.com.br/2qRwGqlMch
58205879005,cozinha,Copo Térmico inox 473ml Personalizado Time Atlético MG - Presente Torcedor/Futebol,https://shopee.com.br/product/1740395698/58205879005,https://s.shopee.com.br/5fm7e4n1lg
58208324063,beleza,Depilador Eletrico Feminino Recarregável Removedor De Pelos Navalha Dupla,https://shopee.com.br/product/725091778/58208324063,https://s.shopee.com.br/5q5XqNmOQj
20599609747,papelaria,500 Etiquetas Adesivas Um Mimo para você Flork TAMANHO 3 CM,https://shopee.com.br/product/415174690/20599609747,https://s.shopee.com.br/5L9HFSoIRe
47407148015,pets,Kit 4 Pacotes Areia Sanitária de Mandioca Biodegradável Esconde Aí Granulado Premium Alta Absorção Torrões Firmes,https://shopee.com.br/product/1027434194/47407148015,https://s.shopee.com.br/5VShRlnf6h
57909963376,papelaria,Tag Etiqueta Papel Kraft Produto Artesanal 240g para crochê artesanato produto embalagem lembrancinha,https://shopee.com.br/product/1463376672/57909963376,https://s.shopee.com.br/6L1oRIkUPs
58209887291,pets,Guia para cachorro material premium 2 metros com regulagem de tamanho mãos livres para peitoral Pet,https://shopee.com.br/product/1381191494/58209887291,https://s.shopee.com.br/1Ld8U8giYa
58259638854,papelaria,"Cores Neon Vibrantes Apagáveis – Kit 8 Canetas Fluorescentes para Vidro, Quadro e LED",https://shopee.com.br/product/1788248907/58259638854,https://s.shopee.com.br/1VwYgRg5Dd
58255946569,organização,Caixa Organizadora Multiuso com Zíper e Alça – Organizador de Roupas em Algodão e Linho com Janela Transparente Grande,https://shopee.com.br/product/379687599/58255946569,https://s.shopee.com.br/1gFyskfRsg
23694946405,acessórios para celular,"Rastreador anti-perda mini, localização em tempo real, ideal para veículos, pets, idosos e crianças",https://shopee.com.br/product/1695518686/23694946405,https://s.shopee.com.br/1qZP53eoXj
23093965205,papelaria,Cola Universal Para Artesanato Círculo Transparente Secagem Rápida,https://shopee.com.br/product/1530459288/23093965205,https://s.shopee.com.br/20spHMeBCm
18799074613,pets,Comedouro Triplo Elevado Com TAMPAS Para Cães/Gatos Tigelas De Inox,https://shopee.com.br/product/433293851/18799074613,https://s.shopee.com.br/qgrtF9Eby
22398687684,organização,Caldeirão Harry Potter 3D colecionável chapéu seletor Hogwarts porta treco organizador / Presente Criativo,https://shopee.com.br/product/1569291221/22398687684,https://s.shopee.com.br/gNRgw9rwx
21498983719,organização,Cesto Organizador De Roupa Suja e Brinquedos Multiuso Armazenamento Dobrável Guarde Bem,https://shopee.com.br/product/341540478/21498983719,https://s.shopee.com.br/W41UdAVHw
20897624112,organização,Kit 2 Suporte Porta Toalha De Banho Gancho Prata Fita Dupla Face 3m,https://shopee.com.br/product/408653169/20897624112,https://s.shopee.com.br/LkbIKB8cv
51608332042,acessórios para celular,2026 Smartwatch Relógio Inteligente Bluetooth Chamadas/calculator/Monitoramento De Saúde 38/45/49mm Envio Rápido De São,https://shopee.com.br/product/1443015545/51608332042,https://s.shopee.com.br/BRB61Blxu
