itemid,categoria_final,title_clean,price,sale_price,discount_percentage,item_rating,image_link,product_link,porte_estimado,score_potencial_comercial,link_gerado_shopee
23694619096,fitness,Conjunto Fitinis Feminino Camiseta+Bermuda Cós Alto Zero Transparencia Docinho Meninas Super Poderosas,99.9,57.95,42,5.0,https://cf.shopee.com.br/file/sg-11134201-8258j-mg81ten38s9a07,https://shopee.com.br/product/1658214238/23694619096,pequeno,88.0,https://s.shopee.com.br/7VDlpL0or8
22298931685,casa,Bomba De Ar Elétrica Para Balões Bivolt 22W 2V/AC110-240V BOMVINK,199.96,72.99,63,5.0,https://cf.shopee.com.br/file/br-11134207-81z1k-merlr2b4q3gj3c,https://shopee.com.br/product/1588652179/22298931685,pequeno,88.0,https://s.shopee.com.br/7KuLd21SC7
44507789271,moda,Blusa Moletom Flanelada Feminina Semi Cropped Manga Longa Casaco de Frio com Ribana Elegante,100.0,66.0,34,5.0,https://cf.shopee.com.br/file/br-11134207-820lk-mmatnqzj7eh377,https://shopee.com.br/product/267824638/44507789271,pequeno,88.0,https://s.shopee.com.br/5q5XqH7AEq
20297688732,moda,Bota Coturno Feminina Sola Tratorada Plataforma com Bordado Metalasse Leve e Confortável,179.8,53.94,70,5.0,https://cf.shopee.com.br/file/br-11134207-7r98o-lvi1n3gvk5d3ba,https://shopee.com.br/product/1257356351/20297688732,pequeno,88.0,https://s.shopee.com.br/5fm7dy7nZp
58207500943,infantil,2 PARES UM CHINELO NUVEM + TENIS CALCE FACIL DOS ROSAS COM PULSEIRA EXCLUSIVA,111.8,44.72,60,5.0,https://cf.shopee.com.br/file/br-11134207-820lj-mm7j7nsikgsnd6,https://shopee.com.br/product/1142211974/58207500943,pequeno,88.0,https://s.shopee.com.br/5VShRf8Quo
56410326911,moda,blusa feminina manga longa de frio canelado gola alta elegante básica inverno,50.0,29.5,41,5.0,https://cf.shopee.com.br/file/br-11134207-820lp-mo4c04d5si684c,https://shopee.com.br/product/353255910/56410326911,pequeno,88.0,https://s.shopee.com.br/2qRwGn0B3L
22399457294,beleza,Vibrador Caracol com Língua Estimulador Clitoriano Massageador Feminino Envio Discreto,169.0,56.9,66,5.0,https://cf.shopee.com.br/file/br-11134207-820ma-mnmb4h9klxc1a4,https://shopee.com.br/product/1743861311/22399457294,pequeno,88.0,https://s.shopee.com.br/3g13GJx0MW
22299216732,moda,Sapatilha Tênis Feminina Gel Ortopédica Calce Fácil,89.89,29.97,67,5.0,https://cf.shopee.com.br/file/br-11134207-7r98o-mcrxcurp8lkia1,https://shopee.com.br/product/1677223725/22299216732,pequeno,88.0,https://s.shopee.com.br/3qKTScwN1Z
58204121560,casa,4pcs Dobradiça Dobrável Invisível Travamento Automático 0-180° Graus Ajustáveis Aço Ino,49.0,29.9,39,5.0,https://cf.shopee.com.br/file/br-11134207-81ztc-mjz4yaghjldy62,https://shopee.com.br/product/1582679273/58204121560,pequeno,88.0,https://s.shopee.com.br/3LOCrhyH2U
25519021709,infantil,25cm Meu Pequeno Pônei Arco-Íris Peluche Pe,40.72,28.51,30,5.0,https://cf.shopee.com.br/file/sg-11134201-22120-kb5m6v0pyalv2a,https://shopee.com.br/product/452489957/25519021709,pequeno,88.0,https://s.shopee.com.br/3Vhd40xdhX
58258843577,infantil,Relógio Sonic Projetor De Imagens Infantil Criança Presente,54.9,27.9,49,5.0,https://cf.shopee.com.br/file/sg-11134201-823qk-mok2gtzxpatdbe,https://shopee.com.br/product/1257416020/58258843577,pequeno,88.0,https://s.shopee.com.br/2LVfftNx1Q
42624327436,infantil,[largeloohg] GARFIELD Original Bonito Brinquedo De Pelúcia Macio Gato Boneca Desenhos Animados Plushie Chaveiro Pingente,63.16,31.58,50,5.0,https://cf.shopee.com.br/file/sg-11134201-825ak-mfv08y2smhvs07,https://shopee.com.br/product/1269431300/42624327436,pequeno,88.0,https://s.shopee.com.br/2Vp5sCNJgT
58210671537,casa,Mini Arco De Mesa Festa Painel Redondo Decoraçao 50cm Dourado,50.0,22.5,55,5.0,https://cf.shopee.com.br/file/br-11134207-820lr-mosh54hxqi9ya1,https://shopee.com.br/product/604511483/58210671537,pequeno,88.0,https://s.shopee.com.br/20spHHPDhO
22398463172,cozinha,Kit 15 Caneca personalizada festa junina tematica lembrancinha decorado caipira evento igreja escola,70.49,45.82,35,5.0,https://cf.shopee.com.br/file/sg-11134201-7rfga-m9ezzlchq2nb0d,https://shopee.com.br/product/425376567/22398463172,pequeno,88.0,https://s.shopee.com.br/2BCFTaOaMR
58208034562,cozinha,Processador De Alimentos Recarregável Para Temperos Legumes E Alho 250ml USB ON-UD101,96.0,27.99,71,5.0,https://cf.shopee.com.br/file/sg-11134201-81zwt-mmiyjfbcf3lu4b,https://shopee.com.br/product/1103946075/58208034562,pequeno,88.0,https://s.shopee.com.br/8Kmsov16qe
58257980917,acessórios para celular,Smartwatch D20 38mm Rosé - Relógio Inteligente Bluetooth Resistente Água + Batimentos,39.9,26.74,33,5.0,https://cf.shopee.com.br/file/br-11134207-820ld-mmhr06dnrvnr00,https://shopee.com.br/product/1404960630/58257980917,pequeno,88.0,https://s.shopee.com.br/9fIGPO3oKQ
49609575540,acessórios para celular,"Localizador Anti Perda compatível iOS e Android, rastreamento preciso, compacto e prático",72.99,31.99,56,5.0,https://cf.shopee.com.br/file/sg-11134201-820o6-mnjrxgb36rk026,https://shopee.com.br/product/655350040/49609575540,pequeno,88.0,https://s.shopee.com.br/9pbgbh3AzT
58208445625,casa,Quadros Decorativos Barco Jesus Infantil Religioso Quarto Sala Hall MDF 3mm,71.8,35.9,50,5.0,https://cf.shopee.com.br/file/br-11134207-820mh-mmt35ocnbe9w05,https://shopee.com.br/product/763136057/58208445625,pequeno,88.0,https://s.shopee.com.br/9zv6o02XeW
